tenant_id,timestep,true_next_tool,predicted_dist,weight_w_i
T1,1,browser,browser:0.6490|python:0.0498|sql:0.0366|shell:0.2646,1.0
T2,1,browser,browser:0.6064|python:0.0397|sql:0.0987|shell:0.2553,1.0
T3,1,python,browser:0.0950|python:0.7403|sql:0.1017|shell:0.0630,1.0
T1,2,python,browser:0.0356|python:0.6681|sql:0.2192|shell:0.0771,1.0
T2,2,browser,browser:0.6718|python:0.1732|sql:0.1332|shell:0.0219,1.0
T3,2,shell,browser:0.0442|python:0.0644|sql:0.0968|shell:0.7946,1.0
T1,3,sql,browser:0.0211|python:0.1049|sql:0.7409|shell:0.1331,1.0
T2,3,browser,browser:0.1013|python:0.6760|sql:0.1863|shell:0.0363,1.0
T3,3,sql,browser:0.1480|python:0.1024|sql:0.6534|shell:0.0962,1.0
T1,4,python,browser:0.1467|python:0.6759|sql:0.0949|shell:0.0826,1.0
T2,4,sql,browser:0.6458|python:0.0185|sql:0.1816|shell:0.1541,1.0
T3,4,python,browser:0.0518|python:0.1078|sql:0.0651|shell:0.7753,1.0
T1,5,shell,browser:0.1365|python:0.0987|sql:0.1369|shell:0.6279,1.0
T2,5,shell,browser:0.2005|python:0.6724|sql:0.0278|shell:0.0992,1.0
T3,5,browser,browser:0.1702|python:0.7255|sql:0.0907|shell:0.0136,1.0
T1,6,shell,browser:0.1112|python:0.0015|sql:0.0931|shell:0.7942,1.0
T2,6,sql,browser:0.2142|python:0.1154|sql:0.6680|shell:0.0024,1.0
T3,6,sql,browser:0.7015|python:0.0202|sql:0.1186|shell:0.1597,1.0
T1,7,python,browser:0.0722|python:0.7525|sql:0.1043|shell:0.0710,1.0
T2,7,browser,browser:0.6977|python:0.0232|sql:0.0751|shell:0.2040,1.0
T3,7,sql,browser:0.1449|python:0.0201|sql:0.6482|shell:0.1869,1.0
T1,8,python,browser:0.0994|python:0.6951|sql:0.0479|shell:0.1577,1.0
T2,8,shell,browser:0.0953|python:0.0985|sql:0.7511|shell:0.0551,1.0
T3,8,sql,browser:0.0525|python:0.0974|sql:0.7035|shell:0.1466,1.0
T1,9,python,browser:0.3382|python:0.6014|sql:0.0281|shell:0.0322,1.0
T2,9,browser,browser:0.0635|python:0.7028|sql:0.1107|shell:0.1230,1.0
T3,9,shell,browser:0.1071|python:0.0248|sql:0.1734|shell:0.6946,1.0
T1,10,shell,browser:0.0975|python:0.1425|sql:0.0142|shell:0.7458,1.0
T2,10,shell,browser:0.0313|python:0.0549|sql:0.1537|shell:0.7601,1.0
T3,10,python,browser:0.0532|python:0.6557|sql:0.1967|shell:0.0944,1.0
T1,11,browser,browser:0.7999|python:0.0613|sql:0.0710|shell:0.0679,1.0
T2,11,python,browser:0.0961|python:0.6971|sql:0.1804|shell:0.0264,1.0
T3,11,shell,browser:0.1494|python:0.1266|sql:0.0460|shell:0.6781,1.0
T1,12,shell,browser:0.1579|python:0.0944|sql:0.0884|shell:0.6593,1.0
T2,12,sql,browser:0.0941|python:0.1596|sql:0.7168|shell:0.0295,1.0
T3,12,browser,browser:0.1841|python:0.7190|sql:0.0641|shell:0.0327,1.0
T1,13,python,browser:0.0246|python:0.6079|sql:0.1976|shell:0.1699,1.0
T2,13,sql,browser:0.7339|python:0.1176|sql:0.0994|shell:0.0490,1.0
T3,13,sql,browser:0.1280|python:0.0013|sql:0.7858|shell:0.0850,1.0
T1,14,browser,browser:0.6426|python:0.0456|sql:0.1604|shell:0.1514,1.0
T2,14,python,browser:0.1429|python:0.6315|sql:0.1206|shell:0.1049,1.0
T3,14,browser,browser:0.7109|python:0.1408|sql:0.0156|shell:0.1327,1.0
T1,15,browser,browser:0.6311|python:0.1244|sql:0.0930|shell:0.1514,1.0
T2,15,sql,browser:0.1994|python:0.0112|sql:0.6502|shell:0.1392,1.0
T3,15,sql,browser:0.0343|python:0.2567|sql:0.6667|shell:0.0423,1.0
T1,16,shell,browser:0.1999|python:0.1462|sql:0.0315|shell:0.6224,1.0
T2,16,browser,browser:0.1488|python:0.0145|sql:0.1262|shell:0.7105,1.0
T3,16,browser,browser:0.1112|python:0.7364|sql:0.0590|shell:0.0934,1.0
T1,17,python,browser:0.7729|python:0.0831|sql:0.0690|shell:0.0750,1.0
T2,17,browser,browser:0.7849|python:0.0903|sql:0.0475|shell:0.0773,1.0
T3,17,python,browser:0.0143|python:0.7575|sql:0.1150|shell:0.1132,1.0
T1,18,shell,browser:0.1172|python:0.0300|sql:0.0888|shell:0.7641,1.0
T2,18,shell,browser:0.1163|python:0.0336|sql:0.0772|shell:0.7729,1.0
T3,18,shell,browser:0.0620|python:0.0052|sql:0.1641|shell:0.7687,1.0
T1,19,sql,browser:0.0619|python:0.1407|sql:0.7193|shell:0.0781,1.0
T2,19,browser,browser:0.7153|python:0.0751|sql:0.2091|shell:0.0005,1.0
T3,19,python,browser:0.1960|python:0.6140|sql:0.0974|shell:0.0926,1.0
T1,20,sql,browser:0.0551|python:0.1178|sql:0.7334|shell:0.0937,1.0
T2,20,python,browser:0.0654|python:0.7881|sql:0.0871|shell:0.0594,1.0
T3,20,sql,browser:0.0545|python:0.0377|sql:0.7667|shell:0.1410,1.0
